,mayili_comment
478,上帝为你关上一扇门就会为你打开一扇窗！没什么大步向前！别回头！这个年代的女人天生就是女王！无需解释无需自责，做最好的自己！不要用别人的缺点来折磨自己！@马伊琍 
479,加油，说完再见，继续前行 
480,我不同意 
481,多保重 
482,一别两宽，各自欢喜 
483,从新开始，愿坚强的你后半生找到自己的幸福，开心快乐 
484,淡然优雅，顾家爱女，俐姐是我们女人的标杆 
485,祝你幸福，加油＾０＾~ 
486,找一个像我这样的老实人吧 
487,姐姐好好的 
488,优秀的你 放淡就好 各自欢喜 
489,女神，我永远的偶像，您的知性，大气，无与伦比的美，我永远为您祝福，扎西德勒🙏🙏🙏 
490,加油 未来是美好的 
491,前半生很幸福，后半生更自在 
492,我的女神以后要幸福，你依然是我们所有人的骄傲，你值得拥有更好的。 
493,卧槽 
494,加油往后余生会慢慢好的 
495,希望这个优秀的女人会更好 
496,一别两宽，各自生欢 
497,一别两宽，各自生欢 
498,各自安好，下半生好好的幸福走下去 
499,你们爱是真的，离也是真的 
500,辛苦了 
501,各自安好，都要幸福 
502,回复@赵天天:中央特邀评论员! 
503,珍重！ 
504,往后，愿一切能如你所愿 
505,喜欢你，从未变过，你做的每一个决定都支持。往后余生，幸福快乐 
506,安好 
507,可惜了之前的且行且珍惜，感情结束都有些不忍，看过剃刀边缘，多希望他能像电视里再疯狂的追你一次， 
508,有点像裸婚时代的剧情，好希望你们和好 
509,好好奇原因 
510,你值得更好的 
511,爱过无憾。 
512,找个更好的吧 
513,原则和底线问题没有人能够不介意！一个女人最骄傲的本领，就是没有为取悦别人而活， 她能够担得起三千繁华 ，也能够行至水穷处。喜欢马伊琍的隐忍，也喜欢她的独立。加油加油💪 路很长，景很美。 
514,愿你们都彼此幸福～各行其路～ 
515,祝你们幸福，你们俩都是我很喜欢的演员，愿你安好，余生快乐 
516,心疼，但是换种方式，幸福可能会更多一点 
517,相濡以沫，不如相忘于江湖 
518,加油女神 
519,你的前半生 
520,支持女神，以后会有你的贺涵 
521,孩子跟谁？ 
522,受伤的只有女人 
523,破镜果然难圆 
524,加油(ง •̀_•́)ง 
525,加油，你可以有更好的 
526,早日找到属于你的贺涵 
527,想看下真人马伊琍 
528,破镜不能重圆，愿余生你好好的 
529,你可以找到更好的 
530,破镜不能重圆，愿余生你好好的 
531,你可以找到更好的 
532,加油，你是最棒的，你值得拥有更好的 
533,最终还是离了！马伊琍加油＾０＾~ 
534,加油 
535,就算你拥有一颗恒久远的钻石，它也不能成为你婚姻的防腐剂，谁又是谁的永远呢！搭理好自己才是王道！可以理性华丽的转身才能拥有更好的！ 
536,各自安好 
537,你还会原谅文章么，好遗憾，喜欢你很久了 
538,你只会越来越好，越来越优秀！ 
539,彼此深爱过 
540,所有的一切都只是人生路漫漫 
541,虽然睿智，但心中的痛仍在。 
542,爱你，一直关注着你！希望一切都会过去的 
543, 
544,选择过自己舒坦的日子，两个人在一起不开心就分开，孩子也大了，有自己的生活。相信伊利的选择是对的。 
545,莫名的遗憾 
546,做最好的自己，你一直都做到了，就像之前那前半 
547,往后，幸福快乐 
548,喜欢你没道理 
549,你值得拥有更好的。一定要幸福哦！ 
550,靠爹靠娘都不如靠自己，更何况是老公。女人只有自己强大才最可靠。支持马伊琍！ 
551,婚姻生活，只有经历着的才知道里面的五味杂陈，哪有什么对错，决定一起的时候都深爱着；决定放弃了的时候也都释怀了，不管城里城外，都要活成优秀的自己！ 
552,许从良看着关海丹去了日本 
553,愿马伊琍的后半生能找个像贺函一样的男人来疼她。 
554,爱过，恨过。好聚好散…… 
555,可惜！！！ 
556,曾经的“且行且珍惜”终究变成遗憾。祝福你往后余生幸福快乐！ 
557,是什么滋味只有你自己心里才懂。祝幸福 
558,祝好 
559,替女神难过又开心 
560,希望你们以后都好好的，真的好难过 
561, 
562,对于你来说是种解脱❤️女神 加油。 
563,没有过不了的坎儿 马司令加油 最喜欢你了 
564,回复@赵天天:我爱你 我的祖国 
565,你值得拥有更好的，加油💪 
566,祝福吧 
567,曾听过这一段话
568,破镜怎么重圆…… 
569,回复@小哲love小魔豆:女神你值得更好 
570,加油 
571,@马伊琍 我只想说一句，期待你更多的作品，你是个好妈妈，棒棒哒！！！ 
572,各生欢喜 
573, 
574,做更好的自己 
575,唉…咋整… 
576,要过好生命中的每一天 过去的就让他过去吧 彼此相爱过 彼此也为情所困过 受伤过 选择放手是正确的 一定有不舍有倦恋 时间会冲淡一切的 
577,支持马伊琍。 
