,wenzhang_comment
347,真的特别喜欢你，希望你可以拍更多好的戏 
348,看了怎么这么遗憾啊，明明很爱过，却为了面子丢失了彼此，其实和谁过都是过，都会有矛盾，离开反而会伤害了一个家庭，心疼啊 
349,小贝，阿文，易阳，汉卿，都是我最爱的角色 
350,不知道为什么，还是喜欢你拍戏，喜欢你当制片人，跟你做过的事无关 
351,各自安好 
352,不管时间过去多久了。你就是辜负过她 
353,啥意思啊，原谅我学生党 
354,卧槽 
355,评论有点少 
356,一切伤口都保持着温度，一切温度都牵扯着疼痛，一切疼痛都呼唤着愈合，一切愈合都保留着勉强。 
357,文章好演员！也是老百姓，也是人，犯错难免。谁吃饭不掉过饭粒；老虎还有打盹的时候呢！人家马伊琍不离不弃文章自有文章的魅力，也自有马伊琍的胸怀。看人看长处吧，别揪着人家的错不放！ 
358,期待着您的新作品 
359,希望你们各自安好，很喜欢你拍的电视剧，很期待你能有新的作品 
360,回复@VeilZhong:有没有什么新剧啊 
361,好吧 
362,心疼文章 
363,加油。支持你，赶快出新作品，我要看到不一样的文章同学 
364,文章 加油拍戏 你的演技在现在中国内地同龄人里 绝对第一 
365,卓越，向南，周卫国，张学良，武七…… 导演小爸爸……文章是84年的，演技和资质在80后演员里，也算比较出挑了吧，期待他以后有电影，电视剧作品。 
366,回复@你老公叫仙洋么:小洋 
367,去找你爱的人吧，去找你最舒服的生活方式！ 
368,孤独一人也没关系，只要能发自内心地爱着一个人，人生就会有救。哪怕不能和他生活在一起 
369,一别两宽，各生欢喜 
370,回复@你老公叫仙洋么:顶起来 
371,卫国啊 
372,回复@你老公叫仙洋么:文章也是我偶像 
373,我的剃刀边缘2怎么办！！n 
374,小文加油，复出拍更好的作品。 
375,单身快乐！ 
376,各自安好 
377,希望你有更多更好的作品给大家，我觉得你是集才华幽默一体的好演员～ 
378,文章同学，你不觉得风风雨雨这么多年没有白头偕老，感到惋惜吗？ 
379,欣赏你，又觉遗憾… 
380,加油 
381,回复@今天继续喜欢张国荣:滚 
382,请热搜预留位置 
383,加油 
384,哎 怎么办 就是喜欢文章 
385,哎，破镜终是难以重圆！还是觉得可惜了！ 
386,人生难免会犯错，谁都一样，各自安好吧 
387,文哥.什么时候出新戏？很期待你新戏.剃刀边缘2@文章同學 
388,任何时候都不要许下诺言，珍惜眼前，享受现在，憧憬未来就够了，坚守和过于执着也未必是好事！祝福你们！ 
389,好男人，加油 
390,为了孩子，还需考虑啊，孩子才是家庭的受害者！且行 
391,尊重 
392,各自安好吧 
393,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
394,小文不必遗憾，能离开的都不是对的人 
395,@一只咸鱼七阿  
396,回复@你老公叫仙洋么:上去…哈哈哈哈哈😂😂 
397,人生的路还很长，加油！挺你！！！ 
398,回复@IamWendyLee:哈哈哈哈哈哈哈哈明明是王靖雯 
399,莫名的伤感！ 
400,心疼马伊琍 
401,自由了 
402,如果真的爱伊俐，就不会走成今天这步了。对你很失望 
403,不离等着干吗 
404,回复@Me周宁波:gj知道你是个谁啊？？？ 
405,世界上最遥远的距离是你用的P30pro，而我用的mate20保时捷 
406,可以出来接戏了吧？ 
407,我告诉你什么事最可悲，你遇见一个人，犯了一个错，你想弥补想还清，到最后才发现你根本无力回天，犯下的罪过永远无法弥补，我们永远无法还清犯下的错误。 
408,这件事情真不爷们 
409,文章加油 
410,哥好好演戏导戏 💪💪💪 
411,从此以后 各自安好 
412,各自安好 
413,看后哭了一天啊，我这六零后老阿姨都心痛，为什么就不能守护马伊琍到白头呢？ 
414,回复@醒在梦静上:现在女儿的小名是一生的痛——文不再爱马，如何叫孩子爱马？ 
415,回复@铃铃200708:说得再好听都只是虚话 
416,只有亲情却没有爱情 
417,各自安好吧 
418,终究还是有隔阂！有时候找老婆，女强男弱对男人来说真是一种压力，好好调整自己，希望接下来有精彩的戏！ 
419,爱，为什么还会分开 
420,各自安好 
421,少帅啊 
422,回复@寻寻觅觅寻_:值不值关你什么事？ 
423,人生若只如初见 何事秋风悲画扇 
424,最后还是辜负马司令，你还会回去找姚吗？ 
425,回复@黄老板诶:你还是心疼自己吧 
426,一别两宽各生欢喜 
427,为什么文章总是用繁体字？ 
428,为啥啊 
429,回复@丶甜味:不因任何而改变支持你 
430,我还是喜欢文章 没理由 
431,还吾爱～有资格说吗 
432,加油💪 尽快走出不开心的日子 美好的人生还在后面 
433,啥时候演戏刘易阳 
434,爱过 
435,爱的另一种方式是，当她的亲人，一辈子守候 
436,可惜 可憾 
437,前半生没有对错，只有成长 
438,离了也解脱了 对双方都是好事！希望以后你能继续好好拍戏 喜欢看你的戏！ 
439,这些人一天都是闲的，自己的日子还过不明白呢，跑到别人的生活里瞎发表什么看法 
440,难受呀 
441,祝福 
442,好可惜 
443,人家的私生活就不要妄自揣测了，和平分手，没有撕破脸，好聚好散，不是所有人分手最应该有的样子么？ 
444,爱的话干嘛还要分开 分开就是不爱了 
445,雨我无瓜 
446,回复@祈祷开心幸福1314:比其他演员好很多了 
447,默默喜欢了那么多年的一对夫妻，看到这里，突然心里咯噔一声，让人难以相信。当年马伊琍的且爱且珍惜，让我相信爱情的伟大远不在于在一起，也有再一起。不管怎样，还是祝福你们，尊重你们的决定。 
448,且行且珍惜 
449,我相信你已经成长了，希望你出好作品，期待 
450,好好拍戏吧，觉得你还是很有才华的 
451,吾爱伊利，更爱蒙牛 
452,终究，你还是负了她 
453,反正还是喜欢你，没有为什么 
454,各自安好🍓 
455,破镜不可能重圆，全世界都没有这修复技术 
456,5年时间，终未翻篇。 
457,唉 
458,说不定离了文章才能翻身 
