content,gender,userlevel,score,ticket
超级超级好    时间过去这么长时间了  才想起来没有评价,2,1,10,0
好看，值得认同,1,4,9,0
好看。。。。。,2,2,9,0
台词挺好笑，剧情还好,0,2,9,0
还可以，很棒棒哒,1,1,7,1
好看好看好看,2,4,10,0
我哭了，是为关于哪吒的人和经历。感性的我现在非常喜欢哪吒的角色。,1,3,10,0
动画效果非常棒！超喜欢,0,3,9,0
不错好看可以二刷,0,3,10,0
不错 强烈推荐,2,3,10,0
好看。。。。,2,1,10,0
牛逼啊！！！！,0,2,10,0
后看后补。按画面水平，很不错了。故事嘛，有点拖拉，毕竟给小孩看的，容易掉队。总体来说，很好的国产动画片的开始。国产片能少用低俗的来做搞笑的就好了。,1,5,8,0
很好看嘻嘻嘻,0,2,10,0
中国动漫崛起的标志啊！,2,2,9,0
很好看，强烈推荐,0,2,10,0
我命由我 不由天，很精彩，奈斯,0,2,8,0
好看！特别好看,1,1,10,0
太震撼啦 国漫崛起,0,3,10,0
看过各种版本的哪吒，平心而论，最喜欢的是陈浩民的哪吒、西游记后传里的女版哪吒还有这个版本的哪吒，这个版本的哪吒让我们看到成长和叛逆期的自己。很高兴看到如此用心而又充满内涵的国漫。,1,3,8,0
还行吧勉勉强强,0,2,10,0
特效燃爆，看得流眼泪,0,2,10,0
特别好看赞赞,2,1,10,0
超级无敌好看！！,0,4,10,0
太棒啦！！！！！,0,2,10,0
